code_insee;is_attractive;is_attractive_migratoire;is_attractive_naturel;nombre_d_equipements_culturels;nombre_d_equipements_sportifs;nombre_de_festivals
71073;False;False;False;7.0;21;1.0
71133;False;True;False;4.0;17;2.0
71289;True;True;True;2.0;12;0.0
71394;True;True;False;2.0;4;1.0
72023;True;True;False;4.0;14;0.0
72035;False;False;False;2.0;11;0.0
72039;False;True;False;3.0;13;0.0
72189;False;True;False;2.0;12;0.0
72223;False;False;True;2.0;13;0.0
73236;False;True;False;3.0;10;0.0
73270;True;True;True;3.0;14;0.0
73303;True;True;False;2.0;21;0.0
74026;True;False;True;1.0;11;0.0
74056;False;False;True;10.0;30;5.0
74081;False;False;True;8.0;17;0.0
74256;True;True;True;5.0;30;1.0
76051;True;False;True;1.0;11;0.0
76114;False;False;True;10.0;18;0.0
76164;False;True;False;30.0;22;0.0
76400;False;True;False;2.0;4;0.0
76758;False;False;False;10.0;23;0.0
77327;True;True;True;4.0;17;0.0
77475;True;False;True;0.0;9;0.0
79013;True;True;False;12.0;18;0.0
79062;True;True;False;2.0;24;1.0
79148;False;True;False;1.0;11;0.0
79311;False;True;False;2.0;13;0.0
80010;False;False;False;1.0;14;0.0
80222;False;True;False;1.0;7;0.0
80318;True;True;False;3.0;20;0.0
80606;False;True;False;2.0;7;0.0
81037;True;True;False;2.0;10;0.0
81060;True;True;False;7.0;33;1.0
81140;True;True;False;12.0;32;0.0
81220;True;True;False;14.0;10;1.0
82087;False;True;False;4.0;15;0.0
82097;True;True;False;1.0;7;0.0
82112;True;True;False;16.0;44;0.0
82115;True;True;False;2.0;9;0.0
82155;True;True;False;21.0;16;2.0
83012;False;True;False;4.0;13;3.0
83031;True;True;False;4.0;10;1.0
83071;True;True;False;2.0;33;3.0
84019;False;False;True;18.0;39;1.0
84026;True;True;False;4.0;9;0.0
84138;False;True;False;11.0;29;3.0
85059;True;True;False;7.0;20;0.0
85215;True;True;False;3.0;10;0.0
86082;False;True;False;9.0;22;2.0
86137;True;True;False;23.0;25;6.0
87064;True;True;False;8.0;9;3.0
87161;False;True;False;19.0;16;1.0
88029;False;False;False;4.0;8;0.0
88321;False;True;False;28.0;26;0.0
88372;False;False;False;9.0;22;1.0
88487;False;True;False;5.0;10;0.0
88516;False;False;False;11.0;28;0.0
89344;False;False;False;8.0;10;0.0
91016;True;True;True;2.0;10;0.0
91105;True;True;True;1.0;23;0.0
95250;True;False;True;4.0;14;0.0
97106;False;False;False;5.0;21;0.0
97202;True;True;False;3.0;9;0.0
97204;False;False;False;4.0;13;1.0
97225;False;False;True;18.0;9;0.0
97403;True;True;True;2.0;25;1.0
97406;True;True;True;2.0;8;0.0
01034;True;True;False;16.0;23;1.0
01072;True;True;False;1.0;13;1.0
01074;True;True;False;4.0;11;0.0
01304;True;True;False;2.0;15;0.0
01333;True;True;False;2.0;15;0.0
01457;True;True;True;2.0;13;0.0
02110;False;True;False;4.0;10;1.0
02304;False;True;False;6.0;25;0.0
02361;False;False;False;9.0;27;1.0
03043;True;True;False;5.0;7;1.0
03128;False;False;True;4.0;6;0.0
04018;True;True;False;4.0;9;1.0
04143;True;True;False;2.0;15;0.0
05017;True;True;True;1.0;13;2.0
07064;False;True;False;2.0;21;2.0
07319;True;True;True;5.0;17;0.0
07349;False;False;False;5.0;13;2.0
08081;False;False;False;3.0;23;1.0
08362;False;False;False;6.0;34;1.0
08486;False;False;False;2.0;9;0.0
10323;True;True;False;5.0;37;0.0
11049;False;True;False;5.0;14;1.0
11106;False;False;False;4.0;19;2.0
11116;True;True;False;2.0;7;0.0
11315;False;True;False;4.0;8;0.0
11397;False;False;False;3.0;17;1.0
12094;False;True;False;4.0;8;2.0
12096;True;True;False;13.0;16;1.0
12138;True;True;False;4.0;6;0.0
12164;False;True;False;8.0;5;0.0
12185;False;True;False;3.0;9;1.0
12199;True;True;False;1.0;10;0.0
12298;True;True;False;3.0;3;0.0
13097;True;False;True;5.0;31;2.0
14047;False;False;False;35.0;39;2.0
14191;True;True;False;2.0;15;1.0
14229;True;True;False;1.0;10;0.0
14478;False;False;False;10.0;11;0.0
14515;False;True;False;4.0;10;1.0
14692;True;True;True;5.0;7;0.0
14752;True;True;False;2.0;16;0.0
15045;False;True;False;6.0;8;0.0
15120;False;True;False;9.0;21;0.0
15138;False;True;False;14.0;9;0.0
15202;False;False;False;5.0;5;0.0
15215;False;False;True;4.0;4;0.0
16005;False;True;False;1.0;6;0.0
16073;True;True;False;4.0;10;1.0
16206;True;True;False;1.0;14;0.0
16223;False;True;False;9.0;8;1.0
16230;False;True;False;5.0;15;2.0
16292;False;True;False;6.0;15;0.0
17397;True;True;False;6.0;16;0.0
18003;False;True;False;2.0;5;2.0
18018;True;True;True;3.0;22;0.0
18023;False;False;True;1.0;8;0.0
18108;False;True;False;4.0;16;0.0
18242;False;True;False;3.0;13;0.0
19121;True;True;False;3.0;10;0.0
21103;False;False;False;3.0;12;0.0
21154;False;True;False;28.0;25;0.0
21425;False;False;False;11.0;25;0.0
