Code;Libellé;Population au dernier recensement 2021;Médiane du revenu disponible par UC 2020;Part des 60-74 ans 2021;Part des moins de 15 ans 2021;Part des 15-29 ans 2021;Part des 30-44 ans 2021;Part des 45-59 ans 2021;Nombre d'équipements sportifs 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre grandes surfaces 2023;Nombre de supérettes et épieries;Nombre boulangeries et patisseries;Nombre écoles primaires maternelles élémentaires;Nombre de collèges;Nombre de lycées;Nombre de médecins généralistes;Nombre de dentistes;Nombre de pharmacies
1077;Challes-la-Montagne;189;22770;24.9;18.4;10.8;19.5;17.8;2;10.4;0;0;0;0;0;0;0;0;0
1078;Challex;1619;42350;13.2;20.8;12.3;22.3;22.1;4;2.5;0;0;0;1;0;0;0;0;0
1079;Champagne-en-Valromey;826;22020;19.9;19;8.8;14.2;19.2;5;6.1;0;1;1;2;0;0;1;0;1
1080;Champdor-Corcelles;645;22490;19.4;20.1;11.3;17.4;21.7;2;3.1;0;0;0;1;0;0;0;0;0
1081;Champfromier;718;25300;18.5;16.8;14.9;17.8;23.9;4;5.5;0;1;1;1;0;0;1;0;0
1082;Chanay;616;25710;15.1;23.9;14.9;20.1;20.3;7;11;0;1;0;1;0;0;0;0;0
1083;Chaneins;1003;24310;12.9;21.1;15;21.8;23.8;5;5.2;0;0;1;1;0;0;0;0;0
1084;Chanoz-Châtenay;931;23060;14.8;25.3;12.5;22.3;18.9;5;5.4;0;0;0;1;0;0;0;0;0
1085;La Chapelle-du-Châtelard;394;24560;15.8;20.1;13.2;24.3;20.1;1;2.5;0;0;0;0;0;0;0;0;0
1087;Charix;279;24720;15.6;16.8;14.9;17.6;24.1;4;14.3;0;0;0;1;0;0;0;0;0
1088;Charnoz-sur-Ain;898;27430;14.9;17;16.4;14.6;33;0;0;0;0;0;1;0;0;1;0;0
1089;Château-Gaillard;2287;24490;13.2;24.2;13.5;22.6;21.4;8;3.5;0;0;1;2;0;0;0;0;0
1090;Châtenay;360;21710;22.4;21.3;12.9;17;18.6;2;5.5;0;0;0;1;0;0;0;0;0
1092;Châtillon-la-Palud;1649;25120;16.2;21.2;14.9;18.5;21.9;7;4.3;0;1;2;1;0;0;0;0;0
1093;Châtillon-sur-Chalaronne;5059;22690;19;15;16.2;16.1;17.9;26;5.2;3;3;10;3;2;1;6;5;1
1094;Chavannes-sur-Reyssouze;767;22100;16.5;18.3;12.4;18.5;24.4;3;3.9;0;0;0;1;0;0;0;0;0
1095;Nivigne et Suran;832;22050;19.6;17.4;17;16.3;22.7;6;7.1;0;1;1;1;0;0;0;0;0
1096;Chaveyriat;1036;22570;15.7;20.5;15.6;18.3;23.6;3;2.9;0;0;1;1;0;0;0;0;0
1098;Chazey-Bons;1188;21600;17.1;21.1;14.6;17;21;3;2.6;2;0;0;1;0;0;0;0;0
1099;Chazey-sur-Ain;1600;25480;15.5;19;13.7;21.3;22.7;9;5.7;0;0;1;1;0;0;1;0;0
1100;Cheignieu-la-Balme;131;20380;23.7;13.7;8.4;10.7;26;2;15.3;0;0;0;0;0;0;0;0;0
1101;Chevillard;150;26760;18.5;17.7;11.8;19.7;26.3;0;0;0;0;0;0;0;0;0;0;0
1102;Chevroux;973;23470;14.4;22.5;12.8;23.9;20.2;3;3.1;0;0;1;1;0;0;0;0;0
1103;Chevry;2261;40150;7.8;24.3;15.5;28.8;20;6;2.7;0;1;1;3;0;0;0;0;0
1104;Chézery-Forens;445;26070;18.1;17.3;16.5;19.5;21.7;4;8.8;0;1;1;1;0;0;0;0;0
1105;Civrieux;1916;28050;12.1;21.9;16.1;22.1;22.6;10;5.4;0;0;1;1;0;0;0;0;0
1106;Cize;176;21560;11.2;20.7;15.1;15.6;21.8;2;11.2;0;0;0;0;0;0;0;0;0
1107;Cleyzieu;140;21970;19.5;21.5;6.9;19.4;23.6;0;0;0;0;0;0;0;0;0;0;0
1108;Coligny;1227;22230;18.1;16.8;12;18.2;17.7;9;7.8;0;1;2;1;1;0;2;0;1
1109;Collonges;2249;32850;9.8;23.7;16.6;26.3;20;10;4.5;0;1;1;1;0;0;3;0;1
1110;Colomieu;163;20910;27.5;16.7;14.7;18;18;2;12.6;0;0;0;0;0;0;0;0;0
1111;Conand;135;20190;18.1;21.2;10.7;21.2;21.2;2;15;0;0;0;0;0;0;0;0;0
1112;Condamine;473;24260;11.7;22.8;16.7;24.8;20.3;3;6.4;0;0;0;1;0;0;0;0;0
1113;Condeissiat;815;22650;15.2;21.4;14.4;20.7;20.7;5;6.1;0;0;1;1;0;0;0;0;0
1114;Confort;685;30710;15.9;21.3;10.4;21.7;14.6;3;4.3;0;1;0;1;0;0;0;0;0
1115;Confrançon;1348;23080;12.3;21.7;15.9;23.5;20.6;4;3;1;0;0;1;0;0;0;0;0
1116;Contrevoz;493;22740;21.1;20.6;6.8;20.2;18.2;3;6;0;0;1;1;0;0;0;0;0
1117;Conzieu;149;22590;15.9;29.8;7.9;22.6;15.9;2;13.3;0;0;1;0;0;0;0;0;0
1118;Corbonod;1296;26030;16.6;17.8;12.1;21.7;21.7;4;3.1;0;1;0;1;0;0;0;0;0
1121;Corlier;117;22770;13.8;17.3;17.3;17.4;31;1;8.6;0;0;0;0;0;0;0;0;0
1123;Cormoranche-sur-Saône;1162;24470;16.7;20;12.7;17.7;24.4;9;7.8;0;0;1;1;0;0;2;0;0
1124;Cormoz;703;22850;17.8;19.2;13.8;18.7;20.9;3;4.3;0;0;1;1;0;0;0;0;0
1125;Corveissiat;596;23620;16.7;19.6;13.1;20;22.7;2;3.3;0;0;1;1;0;0;0;0;1
1127;Courmangoux;504;23190;22.3;19.5;9;19.1;20.6;6;11.9;0;0;1;0;0;0;0;0;0
1128;Courtes;297;22100;16.7;19.4;13.5;18.8;20.6;0;0;0;0;0;0;0;0;0;0;0
1129;Crans;306;25420;21.3;23.6;8.3;23.4;14.7;3;9.9;0;0;0;0;0;0;0;0;0
1130;Bresse Vallons;2380;23420;17.1;21.9;14.4;21.9;19.6;12;5.1;0;1;2;2;0;0;1;0;0
1133;Cressin-Rochefort;389;23530;23.5;15.9;12.2;17;23.7;6;15.2;0;0;0;1;0;0;0;0;0
1134;Crottet;1818;23750;20.7;18.1;13.5;18.8;21.4;7;3.9;0;0;0;1;0;0;0;1;0
1135;Crozet;2288;39880;12.1;23.4;14.5;24.3;22.3;10;4.5;0;1;1;1;0;0;0;0;0
1136;Cruzilles-lès-Mépillat;943;24400;16;20.1;16.6;19.4;21.3;4;4.3;0;0;0;1;0;0;0;0;0
1138;Culoz-Béon;3426;21620;17.9;20;14.7;17.9;20;20;5.8;3;1;4;3;1;0;3;2;1
1139;Curciat-Dongalon;451;20130;21.3;17.4;11.1;17.2;19.6;6;13.5;0;0;0;1;0;0;0;0;0
1140;Curtafond;784;24220;15.8;19.3;13.4;20.2;19.8;8;10.5;0;0;0;1;0;0;0;0;0
1141;Cuzieu;433;25140;22.5;15.2;13.3;15.8;24.9;1;2.3;0;0;0;0;0;0;0;0;0
1142;Dagneux;4753;24770;14.7;21.4;16.9;19.4;21.4;20;4.2;3;1;1;3;2;0;9;8;1
1143;Divonne-les-Bains;10137;45020;13.1;21;13.5;22.7;21.1;30;3;2;5;5;6;2;0;11;18;2
1145;Dompierre-sur-Veyle;1207;23000;20.9;18.3;14.4;18.5;21.7;6;5;0;1;1;1;0;0;0;0;0
1146;Dompierre-sur-Chalaronne;437;23770;15.4;19;16.7;18.6;24.1;2;4.6;0;0;0;0;0;0;0;0;0
1147;Domsure;526;20910;16.4;21;14.7;18.1;20.7;3;5.9;0;0;0;1;0;0;0;0;0
1148;Dortan;1953;23390;19.2;19.2;14.5;19.5;19.9;7;3.7;0;0;2;2;0;0;0;0;1
1149;Douvres;1094;26250;17.9;18.5;14.5;17.1;25.3;5;4.6;0;0;0;1;0;0;0;0;0
1150;Drom;215;24150;14.5;19.2;14;22.5;24.8;2;9.3;0;0;0;1;0;0;0;0;0
1151;Druillat;1139;24530;20.1;17.4;13.4;17.3;21.8;7;6.1;0;0;0;1;0;0;0;0;0
1152;Échallon;765;27020;18.4;15.9;12.4;20.8;25.8;3;4;0;2;0;1;0;0;0;0;0
1153;Échenevex;2127;47940;12.9;25.9;11.7;24.4;21.8;10;4.7;0;0;0;1;0;0;0;0;0
1155;Évosges;142;22630;23.9;15.5;9.2;17.6;25.4;4;28.2;0;0;0;1;0;0;0;0;0
1156;Faramans;877;25450;14.5;23.4;13.3;21.1;22.1;6;7.1;0;0;0;1;0;0;0;0;0
1157;Fareins;2431;26310;18.2;20;13.5;18.8;21.2;10;4.3;0;1;2;2;0;0;1;1;1
1158;Farges;1058;34360;9.9;21.9;15.1;22.5;23.9;2;1.9;0;0;0;1;0;0;0;0;0
1159;Feillens;3381;23270;19.3;18.2;14.3;18.1;20.9;13;3.9;1;0;3;2;1;0;3;2;1
1160;Ferney-Voltaire;10920;26970;12.1;20.1;17.5;25.8;19.3;20;1.9;7;5;5;4;1;1;8;26;3
1162;Flaxieu;64;N/A - résultat non disponible;12.3;17;17;12.3;30.8;0;0;0;0;1;0;0;0;0;0;0
1163;Foissiat;2014;23180;18.9;17.3;14.4;16.9;22.1;5;2.5;1;1;2;1;0;0;0;0;0
1165;Francheleins;1585;25050;16.2;23.2;11.8;23.5;20.5;8;5;0;0;0;1;0;0;0;0;0
1166;Frans;2482;26070;16.9;19.8;14;21.5;22.1;4;1.7;0;1;1;1;0;0;0;0;0
1167;Garnerans;658;23960;22;16.1;13.4;15.3;25.3;4;6.1;0;0;0;1;0;0;0;0;0
1169;Genouilleux;650;25380;14.5;19.4;14.9;20.6;26.5;1;1.5;0;0;0;1;0;0;0;0;0
1170;Béard-Géovreissiat;1048;23660;10.7;23;14.2;20.4;28;2;1.9;0;0;0;1;0;0;0;0;0
1171;Géovreisset;835;24860;19.3;15.8;14.6;15.2;29.1;2;2.4;0;0;0;0;0;0;0;0;0
1173;Gex;13078;33730;9.5;20.3;19.9;26.1;19.2;18;1.4;3;2;7;6;2;0;7;2;3
1174;Giron;176;24230;14.8;19.3;13.6;18.8;26.1;6;34.1;0;0;0;0;0;0;0;0;0
1175;Gorrevod;786;22530;19.9;17;14.5;17.2;23;5;6.3;0;0;0;1;0;0;0;0;0
1177;Grand-Corent;184;24470;23.5;16.4;12.6;14.2;23;0;0;0;0;0;0;0;0;0;0;0
1179;Grièges;1901;24120;21.1;16.8;12.2;16.5;23.7;7;3.7;0;2;1;2;0;0;1;1;1
1180;Grilly;864;50060;16.2;20;12.1;20.6;23.5;5;5.9;0;0;0;1;0;0;0;0;0
1181;Groissiat;1230;24770;17.1;17.2;13.1;15.9;25.2;3;2.4;1;0;0;1;0;0;0;0;0
1183;Guéreins;1495;25030;18;19.4;14.1;19.6;21.3;5;3.4;0;0;1;2;0;0;1;0;0
1184;Hautecourt-Romanèche;758;23410;18.1;18.5;14.4;15.1;25.4;11;14.6;0;0;0;1;0;0;0;0;0
1185;Plateau d'Hauteville;4807;23020;22.4;13.7;14.4;15.8;18.9;29;6;2;2;3;5;1;1;3;3;3
1187;Haut Valromey;609;22840;25.3;13.1;9.6;16.1;24.8;9;14.6;0;1;1;1;0;0;0;0;0
1188;Illiat;689;23640;12.4;24.3;14;20.5;22.8;3;4.4;0;0;0;1;0;0;0;0;0
1189;Injoux-Génissiat;1123;26780;13.3;21;16.2;22.4;21.4;8;7.1;0;0;0;1;0;0;0;0;0
1190;Innimond;89;N/A - résultat non disponible;31.6;14.7;9.4;10.4;23.1;2;23.3;0;0;0;0;0;0;0;0;0
1191;Izenave;155;24680;17.3;18.5;13;16.1;24.1;1;6.6;0;0;0;1;0;0;0;0;0
1192;Izernore;2267;22630;13.8;19.9;16.1;19;25.1;8;3.5;0;0;2;1;0;0;1;1;1
1193;Izieu;222;24780;29.3;13.6;8.8;14.2;23.1;1;4.5;0;0;0;0;0;0;0;0;0
1194;Jassans-Riottier;6355;23470;17.6;17.7;15.9;16.4;21.6;18;2.8;2;0;6;3;1;0;5;7;2
1195;Jasseron;1861;25190;17.2;19.4;13.3;16.5;20.7;13;7.1;0;0;1;1;0;0;1;1;0
1196;Jayat;1259;21750;15.1;21.4;17.1;21.8;19.3;3;2.4;1;2;1;1;0;0;0;0;0
1197;Journans;380;24320;21;18.3;12.4;19.5;20.4;0;0;0;0;0;1;0;0;0;0;0
1198;Joyeux;262;24190;13.9;20;17.9;21.5;22.7;2;7.5;0;0;0;1;0;0;0;0;0
1199;Jujurieux;2124;22110;14.8;18.9;16.6;19.1;21.3;9;4.2;0;1;1;2;0;0;2;1;1
1200;Labalme;210;21620;16.4;16.4;18.8;17.8;23.9;2;9.4;0;0;0;1;0;0;0;0;0
1202;Lagnieu;7268;23160;17.8;18.3;15.7;18.7;18.9;19;2.6;3;0;2;6;1;0;8;10;3
1203;Laiz;1299;24040;19.1;19.3;13.7;19.2;21.2;4;3.1;1;0;0;1;0;0;0;0;0
1204;Le Poizat-Lalleyriat;746;25560;14.8;22.4;15.2;18.4;22.9;3;4;0;1;1;1;0;0;0;0;0
1206;Lantenay;270;24840;19.7;16.7;14;19.7;23.4;0;0;0;0;0;1;0;0;0;0;0
1207;Lapeyrouse;326;26500;13.1;21.8;15;21.5;22.2;2;6.4;0;0;0;0;0;0;0;0;0
1208;Lavours;136;24310;24.5;14;10.4;14.8;22.3;0;0;0;0;0;0;0;0;0;0;0
1209;Léaz;817;29320;10.1;26.3;12.1;27;19.1;2;2.5;0;0;0;1;0;0;0;0;0
1210;Lélex;230;21370;15;12.9;17.4;18.7;24.9;5;21.6;1;0;2;1;0;0;0;0;1
1211;Lent;1408;24150;18.2;19.1;13.6;19.6;22.5;5;3.6;0;0;2;1;0;0;3;0;1
1212;Lescheroux;714;21650;18.5;20.6;14.3;18.6;19.8;4;5.6;0;0;1;1;0;0;0;0;0
1213;Leyment;1392;23790;11.8;21.7;15.5;20.6;25.1;7;5.3;0;1;0;1;1;0;0;0;0
1214;Leyssard;163;24710;21.7;16.7;13;16.7;24.8;1;6.2;0;0;0;0;0;0;0;0;0
1215;Surjoux-Lhopital;141;24180;18.2;13;13;13.8;32.6;0;0;0;0;0;0;0;0;0;0;0
1216;Lhuis;892;23110;25.4;13.7;13.8;14.5;17.7;1;1.1;0;0;2;1;0;0;1;0;1
1219;Lompnas;163;20690;22.6;14.7;16.4;19.4;18.3;0;0;0;0;0;1;0;0;0;0;0
1224;Loyettes;3381;23110;12.9;23.2;16.2;23.8;18.4;9;2.7;0;0;1;2;0;0;4;2;1
1225;Lurcy;393;26840;21.7;17.9;10.1;16.6;26.5;0;0;0;0;0;0;0;0;0;0;0
1227;Magnieu;655;23330;21.9;18.4;12.4;16.7;23.7;2;3.1;0;0;0;0;0;0;0;0;0
1228;Maillat;679;24970;16;19.1;15.7;18.6;23.9;1;1.5;0;0;3;1;0;0;0;0;0
1229;Malafretaz;1214;23680;17.8;18.3;17.5;17.9;19.3;13;10.6;0;0;3;1;0;0;0;0;0
1230;Mantenay-Montlin;308;21070;23.1;17.3;10.4;18.9;22.6;0;0;0;0;0;0;0;0;0;0;0
1231;Manziat;1955;24320;21.2;17.8;13.7;17.5;21.5;9;4.6;0;1;1;2;0;0;4;0;1
1232;Marboz;2268;23330;21.6;17.2;13.2;17.1;20.6;16;7;0;1;3;2;1;0;3;1;1
1233;Marchamp;132;23460;14.5;12.4;18.2;12.4;28.5;0;0;0;0;0;0;0;0;0;0;0
1234;Marignieu;167;24730;22.5;9.5;17.2;16.5;24.3;1;6;0;0;0;0;0;0;0;0;0
1235;Marlieux;1182;23000;12.4;24.1;16.2;20.5;18;6;5.1;0;0;1;2;1;0;0;0;0
1236;Marsonnas;1030;22620;15.8;21.3;14.2;18.5;22.3;3;2.9;0;2;1;1;0;0;0;0;0
1237;Martignat;1671;22910;16.3;20.7;13.9;19.4;23.2;5;3;0;1;1;2;0;0;1;0;0
1238;Massieux;2721;27610;16.6;20.2;14.4;18;24.5;5;1.8;4;0;1;1;0;0;3;0;1
1239;Massignieu-de-Rives;642;24160;23.4;19;8.2;18.8;22;7;11.1;0;0;0;1;0;0;0;0;0
1240;Matafelon-Granges;629;24440;20.6;15.8;13.1;16.7;27.6;1;1.6;0;0;0;1;0;0;0;0;0
