code_insee;mediane_du_revenu_disponible_par_uc_2020;part_des_60-74_ans_2021;part_des_moins_de_15_ans_2021;part_des_15-29_ans_2021;part_des_30-44_ans_2021;part_des_45-59_ans_2021;nombre_grandes_surfaces_2023;nombre_de_superettes_et_epieries;nombre_boulangeries_et_patisseries;nombre_ecoles_primaires_maternelles_elementaires;nombre_de_colleges;nombre_de_lycees;nombre_de_medecins_generalistes;nombre_de_dentistes;nombre_de_pharmacies;taux_evolution;taux_evolution_due_solde_migratoire;taux_evolution_due_solde_naturel;nombre_d_equipements_sportifs;nombre_de_festivals
59331;17870;18.7;17.9;16.9;16.6;20.2;2;0;3;2;1;1;5;2;2;-0.26;-0.01;-0.25;13;1.0
59481;19300;18.4;16.2;17.0;16.8;18.4;4;3;2;4;1;2;8;7;3;-0.52;0.4;-0.93;16;0.0
59525;18200;19.3;17.8;16.3;15.8;20.8;1;1;1;3;1;1;4;1;1;-0.9;-0.78;-0.12;12;0.0
59571;18430;17.1;18.7;16.7;17.4;20.0;2;1;3;3;2;1;7;4;2;-0.72;-0.35;-0.37;10;0.0
59574;18330;16.5;19.1;18.4;16.8;19.9;6;4;8;9;3;2;10;8;3;-1.23;-1.36;0.13;28;0.0
60029;23350;19.4;18.9;15.7;16.9;21.7;2;0;1;2;1;0;3;1;2;-0.48;-0.61;0.13;10;0.0
60103;22330;17.4;17.7;17.8;17.4;20.4;2;1;2;2;1;0;3;3;2;-0.7;-0.63;-0.07;12;0.0
60104;18300;16.3;17.7;18.6;15.8;19.1;5;2;4;4;2;0;13;6;2;-1.44;-1.4;-0.04;21;0.0
60157;21150;14.4;18.1;20.2;20.3;18.8;2;6;8;8;1;1;8;9;4;-0.12;0.31;-0.42;26;3.0
60178;19860;15.7;18.8;16.2;17.0;18.9;2;2;3;2;1;0;6;1;2;-0.37;-0.22;-0.14;15;0.0
60245;18550;22.2;15.8;16.4;13.1;19.0;2;3;3;2;1;0;2;15;2;-0.44;-0.15;-0.3;11;0.0
60286;18930;20.0;15.4;16.9;11.6;19.4;2;1;5;1;1;1;5;1;2;-1.19;0.13;-1.32;16;1.0
60333;21900;18.6;19.2;15.3;19.3;19.9;0;1;1;2;0;0;2;0;1;-0.3;-0.38;0.07;4;0.0
60395;19440;12.9;24.2;19.3;19.0;19.0;4;8;9;10;3;2;8;7;5;-0.44;-1.05;0.61;32;0.0
60439;20440;15.6;19.1;17.9;19.9;19.3;0;2;7;5;1;0;3;1;1;0.08;-0.2;0.27;18;0.0
60471;17150;17.2;19.2;17.6;17.1;18.3;9;8;8;12;3;2;14;7;6;-1.11;-1.4;0.29;41;0.0
60509;20430;14.6;19.8;18.8;19.9;19.9;6;2;7;12;2;2;8;6;4;-0.41;-0.95;0.54;27;0.0
60577;22210;21.1;19.0;12.5;16.7;20.1;0;2;2;2;0;0;0;0;1;-0.13;-0.3;0.18;9;0.0
61007;21970;19.2;17.9;11.5;17.3;21.5;1;3;3;5;1;0;5;0;1;-0.31;0.03;-0.34;16;0.0
61038;20740;20.2;11.3;11.3;11.6;18.7;1;1;2;2;1;0;5;3;1;-1.2;1.94;-3.14;12;0.0
61063;19880;20.1;13.7;12.4;13.7;18.1;2;0;2;2;1;0;3;0;1;-0.32;1.08;-1.39;7;1.0
61074;19130;23.6;11.9;12.9;11.2;16.5;0;2;2;2;1;0;2;0;1;-1.24;2.03;-3.27;5;0.0
61145;20950;26.6;10.7;11.7;12.1;20.6;3;4;4;4;2;1;5;3;2;-0.63;0.39;-1.02;11;1.0
61153;21010;24.1;15.8;11.4;14.7;18.8;2;0;3;2;1;0;3;0;1;0.05;0.81;-0.76;8;0.0
61168;19660;24.2;12.7;14.8;12.9;19.5;6;0;8;2;2;3;2;8;3;-1.34;-0.01;-1.33;19;1.0
61181;18810;20.6;13.6;13.4;13.5;19.5;2;1;2;2;2;0;3;1;1;-0.99;0.32;-1.31;10;0.0
61214;18450;18.3;15.5;16.6;15.6;18.3;4;6;9;5;3;1;8;11;3;-0.48;0;-0.48;28;2.0
61230;20940;25.5;13.3;10.3;12.7;21.1;1;4;4;3;1;0;2;0;1;-1.01;0.16;-1.17;15;0.0
61258;19130;21.6;13.0;14.9;11.9;20.6;0;1;4;2;1;0;2;1;1;-1.76;-1.16;-0.59;6;0.0
61293;20660;19.0;11.8;18.8;14.3;17.3;4;4;5;3;2;4;8;3;2;-0.49;1.35;-1.84;10;1.0
61339;20610;21.6;16.8;12.7;15.2;19.2;0;1;2;2;1;0;3;1;1;-0.55;0;-0.55;11;0.0
61345;20600;24.3;14.1;11.9;12.5;22.4;1;0;2;1;1;0;2;2;1;-0.7;-0.35;-0.35;14;0.0
61464;19970;19.4;13.6;17.3;13.8;16.2;3;1;6;4;4;4;6;3;2;-0.07;1.61;-1.68;14;1.0
61483;22870;27.4;9.1;10.1;10.5;18.8;1;2;3;1;0;0;12;0;2;0.04;1.46;-1.42;10;3.0
61484;21260;21.5;17.0;13.9;16.3;21.3;0;1;2;3;1;0;1;1;1;-1.71;-1.82;0.11;15;0.0
61486;19970;20.2;16.3;12.7;16.3;19.0;1;2;3;4;2;0;5;0;1;-0.39;0.45;-0.84;23;0.0
61494;19240;17.9;14.0;14.1;12.0;19.1;1;1;3;2;1;1;3;0;1;-1.27;1.27;-2.54;7;0.0
61508;19050;24.7;11.4;12.3;11.2;17.8;5;2;6;2;1;1;3;2;2;-1.86;0.28;-2.15;9;0.0
62014;20140;18.9;17.8;15.4;16.8;20.9;5;4;9;6;2;2;10;5;3;-0.46;-0.2;-0.25;18;0.0
62048;16800;16.0;20.7;18.2;17.9;17.7;3;3;9;11;2;2;7;6;3;-0.82;-0.83;0.01;36;0.0
62060;17700;22.1;15.9;15.5;13.9;19.3;2;1;3;2;1;0;5;1;3;-0.9;-0.16;-0.74;14;0.0
62063;19480;20.3;18.0;16.4;17.6;20.3;2;1;4;2;1;0;4;1;2;-1.79;-1.92;0.13;3;0.0
62080;18280;18.4;15.3;18.7;16.9;20.0;4;1;7;2;2;2;8;4;2;-0.96;0.1;-1.07;13;0.0
62186;18690;16.0;19.3;17.1;18.3;19.6;5;2;10;10;1;1;5;4;5;-0.39;-0.52;0.13;24;1.0
62194;17130;16.7;18.8;18.5;18.3;18.3;4;1;5;5;1;0;0;0;2;-0.05;0.1;-0.14;17;0.0
62215;19410;16.4;20.1;17.1;20.8;17.8;5;6;5;10;3;1;13;13;7;0.79;0.45;0.34;38;1.0
62268;17900;17.2;18.9;17.6;16.5;18.5;2;2;4;4;2;0;7;2;3;-0.63;-0.3;-0.33;16;0.0
62361;15930;20.6;17.5;15.3;13.6;19.8;2;1;4;2;2;0;5;2;1;-1.34;-0.31;-1.03;7;0.0
62364;17650;18.7;16.5;17.5;16.2;19.8;2;1;3;2;2;2;3;0;2;-0.55;0.4;-0.95;11;0.0
62397;18330;15.9;20.0;18.3;18.6;19.7;3;1;4;4;1;1;6;3;3;-0.41;-0.36;-0.05;14;0.0
62447;16140;19.6;15.2;16.0;15.0;16.4;1;0;5;2;2;0;7;3;3;0.07;1.08;-1.01;6;1.0
62516;18850;17.2;19.0;18.4;17.6;19.7;5;3;9;9;2;3;9;5;4;-0.34;-0.37;0.02;25;1.0
62534;19340;17.5;18.5;17.7;17.4;20.0;3;1;5;3;2;1;3;2;2;-0.76;-0.85;0.09;14;0.0
62560;19480;14.4;19.0;18.2;18.3;20.9;5;3;3;5;2;1;7;6;3;-0.04;0.23;-0.27;21;0.0
62563;17580;13.0;22.6;18.5;21.2;18.2;3;2;3;6;1;0;3;3;3;0.2;-0.11;0.31;19;0.0
62588;19930;21.9;13.1;15.2;16.4;16.4;1;1;8;3;2;2;9;5;2;-1.97;0.15;-2.12;5;1.0
62667;18110;18.6;18.5;18.0;15.9;20.1;5;2;6;6;1;1;7;1;5;-0.66;-0.76;0.1;15;0.0
62758;20610;19.6;16.8;16.2;16.6;20.2;6;2;11;6;2;2;12;10;5;-0.43;-0.41;-0.01;32;0.0
62894;20910;22.6;16.5;14.4;16.4;21.2;1;2;5;4;1;0;4;3;2;-0.98;-0.95;-0.03;9;0.0
62907;18220;16.7;21.4;15.7;19.5;18.9;2;2;4;5;1;0;7;5;3;-0.61;-0.96;0.35;27;0.0
63001;21700;17.9;16.0;12.4;17.2;19.0;1;0;3;3;2;0;5;2;1;0.17;1.12;-0.95;7;0.0
63003;21690;21.1;13.2;13.3;14.5;21.9;3;5;12;3;2;1;6;10;3;-0.32;0.5;-0.81;20;3.0
63004;21320;19.9;15.6;11.7;16.3;22.5;1;0;2;2;1;0;1;0;1;1.11;1.64;-0.53;6;0.0
63009;19490;19.3;15.7;10.6;16.0;17.7;0;1;0;1;0;0;1;0;1;2.69;5.68;-2.99;9;0.0
63010;19230;22.9;13.4;11.3;14.7;21.1;3;1;2;1;1;0;1;2;2;-1.03;0.11;-1.14;14;0.0
63038;21590;25.6;12.0;13.0;14.3;21.3;1;2;11;1;1;0;8;3;2;-0.46;0.59;-1.06;25;2.0
63040;21900;18.5;16.3;12.9;16.9;21.6;2;0;8;3;2;0;7;6;2;0.22;1.46;-1.24;17;3.0
63047;19420;25.7;13.4;12.8;13.6;23.6;3;2;6;1;0;0;5;0;2;-0.32;-0.11;-0.21;11;3.0
63048;21290;26.3;12.6;9.2;14.6;18.4;0;1;1;1;1;0;3;0;1;-0.21;1.96;-2.17;5;1.0
63050;20270;21.9;15.0;13.9;14.8;19.3;2;0;4;2;1;1;5;6;2;0.38;1.31;-0.93;17;1.0
63080;21000;15.8;18.2;14.1;20.9;19.5;1;1;4;2;1;0;4;2;2;1.05;1.55;-0.5;5;1.0
63103;25000;21.3;15.6;12.7;16.8;22.3;1;3;4;4;1;0;8;3;3;0.27;0.52;-0.25;22;3.0
63116;22640;17.9;17.9;13.2;20.6;20.3;1;0;3;2;0;0;5;3;2;-0.17;-0.12;-0.05;7;0.0
63125;20230;22.0;14.4;12.2;15.2;20.9;3;0;5;3;2;1;2;7;3;-0.73;0.15;-0.88;23;0.0
63132;19520;21.5;12.7;11.3;15.0;25.2;1;1;3;2;1;0;3;0;1;0.77;2.58;-1.81;7;0.0
63165;18480;26.5;10.1;8.3;11.1;22.5;1;1;2;1;0;0;2;3;1;-0.74;0.68;-1.41;9;0.0
63195;22020;16.0;18.9;14.7;18.7;18.9;1;2;6;3;1;0;6;5;2;0.97;1.63;-0.66;10;1.0
63210;21130;16.2;20.5;15.9;19.9;17.2;1;1;4;2;2;0;5;3;2;0.21;0.28;-0.07;16;0.0
63236;21070;22.0;12.4;11.9;15.9;21.2;1;6;5;1;0;0;8;1;1;-1.18;0.44;-1.62;24;4.0
63245;25500;21.0;16.1;12.6;16.9;21.1;3;6;5;2;0;0;4;0;1;-0.06;0.06;-0.12;9;0.0
63281;19900;23.0;11.0;9.8;11.3;23.3;1;0;2;1;1;0;5;1;1;-0.83;2.22;-3.05;10;1.0
63283;20880;27.0;10.3;15.4;11.3;17.0;2;1;2;1;1;1;2;2;1;-0.58;2.21;-2.79;10;1.0
