Code;Libellé;Aires d'attraction des villes 2020;insee_com;lib_com;Proximité
56143;Muzillac;T02_20;56143;Muzillac;2.0
56147;Nivillac;T00_30;56147;Nivillac;4.0
56152;Le Palais;T00_30;56152;Le Palais;4.0
56165;Ploërmel;T01_10;56165;Ploërmel;1.0
56166;Plouay;T03_20;56166;Plouay;
56169;Plouhinec;T03_20;56169;Plouhinec;
56184;Questembert;T00_30;56184;Questembert;4.0
56186;Quiberon;T01_10;56186;Quiberon;1.0
56190;Réguiny;T00_30;56190;Réguiny;4.0
56195;La Roche-Bernard;T00_30;56195;La Roche-Bernard;4.0
56198;Rohan;T01_20;56198;Rohan;1.0
56222;Saint-Jean-Brévelay;T02_20;56222;Saint-Jean-Brévelay;2.0
56240;Sarzeau;T00_30;56240;Sarzeau;4.0
56244;Sérent;T00_30;56244;Sérent;4.0
57089;Bitche;T01_10;57089;Bitche;1.0
57097;Boulay-Moselle;T03_20;57097;Boulay-Moselle;
57106;Bouzonville;T01_10;57106;Bouzonville;1.0
57132;Château-Salins;T00_30;57132;Château-Salins;4.0
57160;Creutzwald;T01_10;57160;Creutzwald;1.0
57177;Dieuze;T01_10;57177;Dieuze;1.0
57207;Farébersviller;T01_10;57207;Farébersviller;1.0
57240;Freyming-Merlebach;T01_10;57240;Freyming-Merlebach;1.0
57332;Hombourg-Haut;T01_10;57332;Hombourg-Haut;1.0
57483;Morhange;T01_10;57483;Morhange;1.0
57650;Sierck-les-Bains;T45_20;57650;Sierck-les-Bains;3.0
58046;Cercy-la-Tour;T00_30;58046;Cercy-la-Tour;4.0
58059;La Charité-sur-Loire;T01_10;58059;La Charité-sur-Loire;1.0
58062;Château-Chinon (Ville);T00_30;58062;Château-Chinon (Ville);4.0
58065;Châtillon-en-Bazois;T00_30;58065;Châtillon-en-Bazois;4.0
58079;Clamecy;T01_10;58079;Clamecy;1.0
58083;Corbigny;T00_30;58083;Corbigny;4.0
58095;Decize;T01_10;58095;Decize;1.0
58131;Guérigny;T02_20;58131;Guérigny;2.0
