Code;Libellé;Taux d'équipements socio-culturels pour 10 000 habitants 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre d'équipements sportifs 2023;Nombre d'équipements socio-culturels 2023;Nombre de licenciés sportifs pour 100 habitants 2021
65059;Bagnères-de-Bigorre;7.1;3.6;25.0;5.0;22.6
65258;Lannemezan;1.7;2.6;15.0;1.0;16.9
65452;Trie-sur-Baïse;10.0;7.0;7.0;1.0;23.1
66049;Céret;3.9;3.1;24.0;3.0;21.8
66065;Elne;2.1;2.7;25.0;2.0;19.4
66108;Millas;2.3;4.0;17.0;1.0;16.1
66125;Olette;28.8;11.5;4.0;1.0;9.0
66130;Osséja;14.6;11.0;15.0;2.0;18.7
66222;Vernet-les-Bains;0.0;5.5;8.0;0.0;23.8
67020;Barembach;0.0;2.4;2.0;0.0;12.7
67176;Gundershoffen;2.7;1.9;7.0;1.0;15.8
67281;Marckolsheim;2.4;4.0;17.0;1.0;16.9
67291;Mertzwiller;3.0;3.0;10.0;1.0;17.0
67448;Schirmeck;4.7;2.8;6.0;1.0;14.6
68162;Kaysersberg Vignoble;6.8;4.3;19.0;3.0;22.1
68231;Neuf-Brisach;10.2;2.0;4.0;2.0;11.5
69010;L'Arbresle;1.6;3.3;21.0;1.0;21.8
69018;Beaujeu;9.3;4.7;10.0;2.0;11.9
69019;Belleville-en-Beaujolais;2.2;1.8;24.0;3.0;18.7
69288;Saint-Laurent-de-Mure;1.8;2.9;16.0;1.0;23.7
70120;Champagney;2.7;3.8;14.0;1.0;18.9
70292;Jussey;6.5;7.8;12.0;1.0;15.3
71106;Charolles;14.0;4.9;14.0;4.0;24.2
71120;Chauffailles;5.4;4.3;16.0;2.0;20.0
71137;Cluny;10.1;5.1;25.0;5.0;22.3
71158;Cuisery;6.3;7.6;12.0;1.0;18.8
71178;Dompierre-les-Ormes;11.3;5.7;5.0;1.0;9.0
71192;Étang-sur-Arroux;5.5;5.0;9.0;1.0;18.7
71351;Pierre-de-Bresse;10.3;5.1;10.0;2.0;15.0
71545;Tramayes;9.4;4.7;5.0;1.0;9.6
72071;Montval-sur-Loir;6.8;6.4;38.0;4.0;15.8
72124;Écommoy;4.2;4.4;21.0;2.0;19.0
72334;Sillé-le-Guillaume;4.6;10.5;23.0;1.0;20.3
72363;Tuffé Val de la Chéronne;6.0;8.4;14.0;1.0;12.4
73010;Entrelacs;1.6;3.3;21.0;1.0;23.4
74119;Évian-les-Bains;3.3;2.6;24.0;3.0;22.6
74169;Marnaz;1.7;1.2;7.0;1.0;18.8
74264;Scionzier;2.2;1.0;9.0;2.0;15.5
76159;Cany-Barville;6.7;4.0;12.0;2.0;13.8
76196;Criquetot-l'Esneval;3.9;3.1;8.0;1.0;20.8
76302;Goderville;0.0;4.6;13.0;0.0;21.5
76312;Gournay-en-Bray;3.3;2.2;13.0;2.0;9.5
76329;Gruchet-le-Valasse;0.0;2.9;9.0;0.0;15.4
76392;Londinières;0.0;5.6;7.0;0.0;15.2
76647;Saint-Romain-de-Colbosc;0.0;2.1;9.0;0.0;18.6
76648;Saint-Saëns;4.3;4.7;11.0;1.0;16.3
78310;Houdan;2.7;4.1;15.0;1.0;21.9
78321;Jouars-Pontchartrain;1.7;2.2;13.0;1.0;22.1
78380;Maule;5.0;2.0;12.0;3.0;27.2
79174;Melle;5.0;7.1;43.0;3.0;19.3
79202;Parthenay;4.0;3.1;31.0;4.0;21.2
79307;Sauzé-Vaussais;6.6;9.3;14.0;1.0;16.1
79329;Thouars;7.2;3.6;50.0;10.0;19.2
80570;Moreuil;5.0;4.8;19.0;2.0;30.1
80620;Péronne;5.4;7.7;57.0;4.0;24.6
80685;Roye;3.5;5.6;32.0;2.0;17.3
81003;Alban;10.8;7.6;7.0;1.0;35.9
81033;Blaye-les-Mines;0.0;6.8;20.0;0.0;20.3
81069;Cordes-sur-Ciel;36.7;9.8;8.0;3.0;24.0
81099;Gaillac;3.3;3.5;53.0;5.0;25.3
81222;Réalmont;2.9;2.9;10.0;1.0;28.6
82022;Bourg-de-Visa;26.3;7.9;3.0;1.0;12.7
82134;Nègrepelisse;3.5;3.7;21.0;2.0;20.1
83042;Cogolin;2.5;1.7;20.0;3.0;20.3
83073;Le Luc;1.8;2.4;27.0;2.0;16.2
84054;L'Isle-sur-la-Sorgue;1.0;2.2;45.0;2.0;18.5
84072;Mazan;3.2;2.9;18.0;2.0;24.2
84080;Monteux;0.8;2.1;27.0;1.0;19.8
