Code;Libellé;Aires d'attraction des villes 2020;insee_com;lib_com;Echelle_influence;Dans_influence
12052;Capdenac-Gare;T01_20;12052;Capdenac-Gare;;Non
12056;Baraqueville;T02_20;12056;Baraqueville;3.0;Oui
12089;Decazeville;T01_10;12089;Decazeville;2.0;Oui
12094;Entraygues-sur-Truyère;T00_30;12094;Entraygues-sur-Truyère;1.0;Non
12096;Espalion;T01_10;12096;Espalion;2.0;Oui
12119;Laguiole;T00_30;12119;Laguiole;1.0;Non
12120;Laissac-Sévérac l'Église;T02_20;12120;Laissac-Sévérac l'Église;3.0;Oui
12138;Marcillac-Vallon;T02_20;12138;Marcillac-Vallon;3.0;Oui
12164;Mur-de-Barrez;T00_30;12164;Mur-de-Barrez;1.0;Non
12169;Naucelle;T02_20;12169;Naucelle;3.0;Oui
12185;Pont-de-Salars;T02_20;12185;Pont-de-Salars;3.0;Oui
12197;Réquista;T00_30;12197;Réquista;1.0;Non
12198;Rieupeyroux;T00_30;12198;Rieupeyroux;1.0;Non
12199;Rignac;T02_20;12199;Rignac;3.0;Oui
12208;Saint-Affrique;T01_10;12208;Saint-Affrique;2.0;Oui
12209;Saint-Amans-des-Cots;T00_30;12209;Saint-Amans-des-Cots;1.0;Non
12224;Saint Geniez d'Olt et d'Aubrac;T00_30;12224;Saint Geniez d'Olt et d'Aubrac;1.0;Non
12270;Sévérac d'Aveyron;T00_30;12270;Sévérac d'Aveyron;1.0;Non
12298;Villecomtal;T02_20;12298;Villecomtal;3.0;Oui
13014;Berre-l'Étang;T45_20;13014;Berre-l'Étang;4.0;Oui
13027;Châteaurenard;T03_20;13027;Châteaurenard;;Non
13050;Lambesc;T45_20;13050;Lambesc;4.0;Oui
13078;Port-Saint-Louis-du-Rhône;T01_10;13078;Port-Saint-Louis-du-Rhône;2.0;Oui
13084;La Roque-d'Anthéron;T45_20;13084;La Roque-d'Anthéron;4.0;Oui
13097;Saint-Martin-de-Crau;T01_10;13097;Saint-Martin-de-Crau;2.0;Oui
13100;Saint-Rémy-de-Provence;T01_10;13100;Saint-Rémy-de-Provence;2.0;Oui
13105;Sénas;T02_20;13105;Sénas;3.0;Oui
13110;Trets;T45_20;13110;Trets;4.0;Oui
14027;Les Monts d'Aunay;T03_20;14027;Les Monts d'Aunay;;Non
14035;Balleroy-sur-Drôme;T03_20;14035;Balleroy-sur-Drôme;;Non
14047;Bayeux;T01_10;14047;Bayeux;2.0;Oui
14061;Souleuvre en Bocage;T01_20;14061;Souleuvre en Bocage;;Non
14098;Thue et Mue;T03_20;14098;Thue et Mue;;Non
14100;Bretteville-sur-Laize;T03_20;14100;Bretteville-sur-Laize;;Non
14126;Cambremer;T02_20;14126;Cambremer;3.0;Oui
14143;Caumont-sur-Aure;T03_20;14143;Caumont-sur-Aure;;Non
14174;Condé-en-Normandie;T01_10;14174;Condé-en-Normandie;2.0;Oui
14191;Courseulles-sur-Mer;T03_20;14191;Courseulles-sur-Mer;;Non
14200;Creully sur Seulles;T03_20;14200;Creully sur Seulles;;Non
14225;Dives-sur-Mer;T01_10;14225;Dives-sur-Mer;2.0;Oui
14228;Douvres-la-Délivrande;T03_20;14228;Douvres-la-Délivrande;;Non
14229;Dozulé;T03_20;14229;Dozulé;;Non
14257;Évrecy;T03_20;14257;Évrecy;;Non
14258;Falaise;T03_20;14258;Falaise;;Non
14312;Grandcamp-Maisy;T00_30;14312;Grandcamp-Maisy;1.0;Non
14333;Honfleur;T01_10;14333;Honfleur;2.0;Oui
14342;Isigny-sur-Mer;T01_10;14342;Isigny-sur-Mer;2.0;Oui
14370;Le Molay-Littry;T01_20;14370;Le Molay-Littry;;Non
14371;Livarot-Pays-d'Auge;T02_20;14371;Livarot-Pays-d'Auge;3.0;Oui
14384;Luc-sur-Mer;T03_20;14384;Luc-sur-Mer;;Non
14431;Mézidon Vallée d'Auge;T03_20;14431;Mézidon Vallée d'Auge;;Non
14478;Orbec;T00_30;14478;Orbec;1.0;Non
14488;Ouistreham;T03_20;14488;Ouistreham;;Non
14514;Pont-l'Évêque;T01_20;14514;Pont-l'Évêque;;Non
14515;Port-en-Bessin-Huppain;T01_20;14515;Port-en-Bessin-Huppain;;Non
14516;Potigny;T03_20;14516;Potigny;;Non
14654;Saint-Pierre-en-Auge;T00_30;14654;Saint-Pierre-en-Auge;1.0;Non
14658;Noues de Sienne;T01_20;14658;Noues de Sienne;;Non
14689;Thury-Harcourt-le-Hom;T03_20;14689;Thury-Harcourt-le-Hom;;Non
14692;Tilly-sur-Seulles;T03_20;14692;Tilly-sur-Seulles;;Non
14711;Trévières;T00_30;14711;Trévières;1.0;Non
14726;Valdallière;T01_20;14726;Valdallière;;Non
14752;Villers-Bocage;T03_20;14752;Villers-Bocage;;Non
14754;Villers-sur-Mer;T01_20;14754;Villers-sur-Mer;;Non
14764;Pont-d'Ouilly;T00_30;14764;Pont-d'Ouilly;1.0;Non
15001;Allanche;T00_30;15001;Allanche;1.0;Non
15045;Chaudes-Aigues;T00_30;15045;Chaudes-Aigues;1.0;Non
15054;Condat;T00_30;15054;Condat;1.0;Non
15083;Jussac;T02_20;15083;Jussac;3.0;Oui
15094;Laroquebrou;T02_20;15094;Laroquebrou;3.0;Oui
15119;Massiac;T00_30;15119;Massiac;1.0;Non
15120;Mauriac;T01_10;15120;Mauriac;2.0;Oui
15122;Maurs;T00_30;15122;Maurs;1.0;Non
15134;Montsalvy;T02_20;15134;Montsalvy;3.0;Oui
15138;Murat;T00_30;15138;Murat;1.0;Non
15140;Naucelles;T02_20;15140;Naucelles;3.0;Oui
15141;Neussargues en Pinatelle;T00_30;15141;Neussargues en Pinatelle;1.0;Non
15152;Pierrefort;T00_30;15152;Pierrefort;1.0;Non
15153;Pleaux;T00_30;15153;Pleaux;1.0;Non
15162;Riom-ès-Montagnes;T00_30;15162;Riom-ès-Montagnes;1.0;Non
15175;Saint-Cernin;T02_20;15175;Saint-Cernin;3.0;Oui
15187;Saint-Flour;T01_10;15187;Saint-Flour;2.0;Oui
15202;Saint-Martin-Valmeroux;T00_30;15202;Saint-Martin-Valmeroux;1.0;Non
15204;Saint-Paul-des-Landes;T02_20;15204;Saint-Paul-des-Landes;3.0;Oui
15215;Saint-Simon;T02_20;15215;Saint-Simon;3.0;Oui
15221;Sansac-de-Marmiesse;T02_20;15221;Sansac-de-Marmiesse;3.0;Oui
15255;Vézac;T02_20;15255;Vézac;3.0;Oui
15258;Vic-sur-Cère;T02_20;15258;Vic-sur-Cère;3.0;Oui
15265;Ydes;T01_20;15265;Ydes;;Non
15267;Ytrac;T02_20;15267;Ytrac;3.0;Oui
