Code;Libellé;Taux d'équipements socio-culturels pour 10 000 habitants 2023;Taux d'équipements sportifs pour 1 000 habitants 2023;Nombre d'équipements sportifs 2023;Nombre d'équipements socio-culturels 2023;Nombre de licenciés sportifs pour 100 habitants 2021
01264;Montracol;9.8;4.9;5;1.0;22.5
01265;Montréal-la-Cluse;2.9;3.7;13;1.0;20.6
01266;Montrevel-en-Bresse;3.9;4.7;12;1.0;20.8
01267;Nurieux-Volognat;9.9;5;5;1.0;17
01268;Murs-et-Gélignieux;0;8.2;2;0.0;15.7
01269;Nantua;8.7;3.5;12;3.0;18.9
01272;Neuville-les-Dames;6.7;4.7;7;1.0;19
01273;Neuville-sur-Ain;5.6;5;9;1.0;16.3
01274;Les Neyrolles;0;7.9;5;0.0;21
01275;Neyron;3.9;1.5;4;1.0;25.4
01276;Niévroz;6.1;3.7;6;1.0;21.5
01277;Nivollet-Montgriffon;0;0;0;0.0;13.3
01279;Oncieu;0;13;1;0.0;20
01280;Ordonnaz;0;22.1;3;0.0;15.4
01281;Ornex;0;1.1;5;0.0;17.6
01282;Outriaz;0;3.9;1;0.0;26.1
01283;Oyonnax;3.6;1.8;40;8.0;14.5
01284;Ozan;14.3;7.1;5;1.0;17.2
01285;Parcieux;0;3.7;5;0.0;22.7
01286;Parves et Nattages;10.4;5.2;5;1.0;20.6
01288;Péron;3.6;4;11;1.0;22.1
01289;Péronnas;3.1;4.3;28;2.0;21.5
01290;Pérouges;7.6;4.6;6;1.0;21.8
01291;Perrex;11.8;2.4;2;1.0;17.3
01293;Peyriat;0;0;0;0.0;32.9
01294;Peyrieu;11.1;5.6;5;1.0;27.5
01295;Peyzieux-sur-Saône;0;3;2;0.0;13.7
01296;Pirajoux;0;0;0;0.0;16.4
01297;Pizay;11.2;1.1;1;1.0;22.5
01298;Plagne;0;0;0;0.0;18.3
01299;Le Plantay;0;8.5;5;0.0;19.1
01301;Polliat;3.8;2.3;6;1.0;26.5
01302;Pollieu;0;0;0;0.0;15.6
01303;Poncin;5.9;8.3;14;1.0;22.5
01304;Pont-d'Ain;3.4;5.2;15;1.0;19.8
01305;Pont-de-Vaux;9.1;6.4;14;2.0;17.5
01306;Pont-de-Veyle;6.1;6.7;11;1.0;18.4
01307;Port;0;9.5;8;0.0;16.7
01308;Pougny;0;7.5;6;0.0;11.8
01309;Pouillat;0;12;1;0.0;10
01310;Prémeyzel;0;0;0;0.0;17.6
01311;Prémillieu;0;0;0;0.0;8.9
01313;Prévessin-Moëns;1.1;1.8;16;1.0;24.4
01314;Priay;0;3.5;6;0.0;18.5
01317;Ramasse;0;6;2;0.0;16.3
01318;Rancé;0;5.4;4;0.0;20.6
01319;Relevant;0;10.7;5;0.0;21.6
01320;Replonges;2.6;3.1;12;1.0;23.6
01321;Revonnas;0;4.5;4;0.0;24.5
01322;Reyrieux;2;3;15;1.0;25.6
01323;Reyssouze;0;3.9;4;0.0;14.8
01325;Rignieux-le-Franc;9.4;6.6;7;1.0;23.9
01328;Romans;0;11.6;7;0.0;19.8
01329;Rossillon;0;12.7;2;0.0;17
01330;Ruffieu;0;0;0;0.0;15.3
01331;Saint-Alban;0;10.4;2;0.0;10.4
01332;Saint-André-de-Bâgé;0;7.6;6;0.0;26.1
01333;Saint-André-de-Corcy;3;4.5;15;1.0;30.9
01334;Saint-André-d'Huiriat;0;5.9;4;0.0;19.6
01335;Saint-André-le-Bouchoux;0;12.2;5;0.0;23
01336;Saint-André-sur-Vieux-Jonc;8.4;5.1;6;1.0;22.5
01337;Saint-Bénigne;7.5;3.7;5;1.0;15.1
01338;Groslée-Saint-Benoit;0;4.8;6;0.0;20.2
01339;Saint-Bernard;13.5;2.7;4;2.0;24.3
01342;Sainte-Croix;18.3;7.3;4;1.0;21.5
01343;Saint-Cyr-sur-Menthon;16.5;2.7;5;3.0;21.1
01344;Saint-Denis-lès-Bourg;1.7;2.5;15;1.0;25.2
