insee_com;lib_com
14225;Dives-sur-Mer
14312;Grandcamp-Maisy
14333;Honfleur
14342;Isigny-sur-Mer
14431;Mézidon Vallée d'Auge
14654;Saint-Pierre-en-Auge
14711;Trévières
15175;Saint-Cernin
16106;Confolens
16192;Terres-de-Haute-Charente
16281;La Rochefoucauld-en-Angoumois
16286;Rouillac
16366;Segonzac
17224;Matha
17240;Montendre
17331;Saint-Genis-de-Saintonge
17421;Saujon
18057;Châteaumeillant
18087;Dun-sur-Auron
18241;Sancerre
19011;Arnac-Pompadour
19036;Chamberet
19138;Meyssac
21501;Pouilly-en-Auxois
22004;Bégard
22050;Dinan
22136;Loudéac
22137;Maël-Carhaix
22143;Matignon
22147;Merdrignac
22222;Plouha
22362;Tréguier
23008;Aubusson
23025;Bonnat
23045;Chambon-sur-Voueize
23079;Felletin
23089;Genouillac
23105;Lavaveix-les-Mines
23176;La Souterraine
24028;Beaumontois en Périgord
24294;Montpon-Ménestérol
24396;Saint-Cyprien
25047;Baume-les-Dames
25237;Fesches-le-Châtel
25315;L'Isle-sur-le-Doubs
25411;Morteau
26063;Buis-les-Baronnies
26114;Dieulefit
27051;Beaumont-le-Roger
27056;Bernay
27117;Broglie
27279;Gasny
27448;Pacy-sur-Eure
27470;Pont-Saint-Pierre
28027;La Bazoche-Gouet
28061;Brou
28149;La Ferté-Vidame
28279;Nogent-le-Roi
28387;Thiron-Gardais
29020;Briec
29158;Penmarch
29197;Plouhinec
29199;Plouigneau
29233;Quimperlé
29260;Saint-Renan
29302;Pont-de-Buis-lès-Quimerch
30034;Bellegarde
30132;La Grand-Combe
30263;Saint-Hippolyte-du-Fort
31033;Auterive
31239;L'Isle-en-Dodon
31582;Villefranche-de-Lauragais
32079;Castelnau d'Auzan Labarrère
32233;Marciac
32296;Nogaro
32319;Plaisance
32410;Samatan
33042;Belin-Béliet
33108;Castillon-la-Bataille
33227;Langon
34079;Clermont-l'Hérault
34101;Florensac
34111;Ganges
34147;Magalas
34199;Pézenas
35023;Bédée
35126;Guichen
35152;Liffré
35176;Guipry-Messac
35184;Montauban-de-Bretagne
35188;Montfort-sur-Meu
35223;Plélan-le-Grand
35282;Rives-du-Couesnon
35297;Saint-Méen-le-Grand
36001;Aigurande
36005;Ardentes
36006;Argenton-sur-Creuse
36045;Châtillon-sur-Indre
36046;La Châtre
36093;Levroux
36228;Valençay
37031;Bourgueil
37063;Château-Renault
37225;Saint-Martin-le-Beau
38226;Mens
38269;La Mure
39478;Saint-Claude
40197;Morcenx-la-Nouvelle
41136;Mer
41151;Montrichard Val de Cher
41159;Neung-sur-Beuvron
41242;Selles-sur-Cher
42011;Balbigny
42165;Panissières
42204;Saint-Bonnet-le-Château
42224;Saint-Genest-Malifaux
43112;Langeac
43135;Le Monastier-sur-Gazeille
43185;Sainte-Florine
43200;Saint-Julien-Chapteuil
43267;Vorey
44015;Blain
44072;Herbignac
44087;Machecoul-Saint-Même
44161;Saint-Gildas-des-Bois
44180;Vallons-de-l'Erdre
44195;Savenay
44212;Vallet
45028;Beaugency
45115;Courtenay
45203;Meung-sur-Loire
45315;Sully-sur-Loire
46173;Limogne-en-Quercy
46185;Martel
46309;Souillac
46330;Vayrac
47004;Aiguillon
47048;Cancon
47078;Damazan
47086;Duras
47168;Miramont-de-Guyenne
48017;Banassac-Canilhac
48039;Chanac
48080;Langogne
48140;Saint-Chély-d'Apcher
49180;Longué-Jumelles
49228;Noyant-Villages
49248;Ombrée d'Anjou
50031;Barneville-Carteret
50139;Condé-sur-Vire
50236;La Haye
50359;Mortain-Bocage
50402;Les Pieux
50417;Quettehou
50523;Sainte-Mère-Église
51507;Sainte-Menehould
51612;Blancs-Coteaux
52050;Biesles
52074;Breuvannes-en-Bassigny
52269;Langres
53003;Ambrières-les-Vallées
53084;Craon
53096;Ernée
53107;Gorron
53161;Montsûrs
54263;Homécourt
54322;Longuyon
55427;Revigny-sur-Ornain
55463;Saint-Mihiel
56001;Allaire
56057;Le Faouët
56127;Mauron
56165;Ploërmel
57207;Farébersviller
58046;Cercy-la-Tour
58062;Château-Chinon (Ville)
58083;Corbigny
58095;Decize
58227;Saint-Amand-en-Puisaye
58267;Saint-Saulge
59015;Arleux
59035;Avesnelles
59037;Avesnes-les-Aubert
59053;Bavay
59331;Landrecies
59481;Le Quesnoy
60104;Breteuil
60157;Clermont
61230;Longny les Villages
61339;Putanges-le-Lac
61464;Sées
