Code;Libellé;Taux d'évolution annuel de la population 2015-2021;Taux d'évolution annuel de la population due au solde naturel 2015-2021;Taux d'évolution annuel de la population due au solde migratoire apparent 2015-2021
23069;Crocq;0.25;-0.93;1.19
23070;Crozant;-0.97;-1.86;0.89
23075;Dun-le-Palestel;-0.54;-3.06;2.52
23076;Évaux-les-Bains;-1.14;-1.76;0.62
23079;Felletin;-1.59;-1.94;0.35
23089;Genouillac;-0.56;-0.85;0.29
23093;Gouzon;-0.24;-1.35;1.1
23100;Jarnages;-1.12;-0.49;-0.63
23105;Lavaveix-les-Mines;-1.1;-0.98;-0.13
23131;Mérinchal;-2.04;-1.07;-0.98
23176;La Souterraine;-1.24;-0.99;-0.25
23247;Saint-Vaury;-0.44;-0.91;0.47
24028;Beaumontois en Périgord;-0.92;-1.25;0.33
24035;Pays de Belvès;-1.57;-1.84;0.26
24064;Brantôme en Périgord;-0.25;-0.9;0.65
24068;Le Buisson-de-Cadouin;-0.46;-1.83;1.37
24164;Excideuil;0.16;-2.74;2.9
24167;Eymet;-0.81;-1.32;0.51
24212;Issigeac;-0.31;-2.39;2.08
24223;Lalinde;0.19;-1.52;1.71
24227;Lanouaille;-1.13;-2.16;1.03
24294;Montpon-Ménestérol;1.09;-1.28;2.37
24299;Mussidan;0.28;-1.24;1.52
24311;Nontron;-0.43;-1.24;0.81
24352;Ribérac;-0.45;-1.5;1.06
24354;La Roche-Chalais;0.27;-1.1;1.37
24376;Saint Aulaye-Puymangou;-0.4;-1.41;1.01
24396;Saint-Cyprien;-0.48;-1.17;0.7
24520;Sarlat-la-Canéda;-0.41;-0.8;0.39
24547;Terrasson-Lavilledieu;0.24;-0.68;0.92
24550;Thenon;0.03;-0.77;0.8
24551;Thiviers;-0.16;-1.42;1.26
25022;Arcey;0.57;0.1;0.47
25047;Baume-les-Dames;-0.81;-0.8;-0.01
25156;Pays-de-Clerval;-1.29;0.01;-1.31
25237;Fesches-le-Châtel;-0.33;0.18;-0.52
25259;Frasne;-0.2;0.12;-0.32
25315;L'Isle-sur-le-Doubs;-1.39;-0.82;-0.57
25334;Levier;0.95;-0.14;1.09
25411;Morteau;0.04;-0.04;0.08
25434;Ornans;0.25;-0.38;0.63
25463;Pont-de-Roide-Vermondans;-0.75;-0.65;-0.1
25475;Quingey;-0.61;-1.83;1.21
25505;Rougemont;-2.29;-1.58;-0.71
25512;Le Russey;1.54;0.51;1.03
25578;Valdahon;0.75;0.67;0.08
26063;Buis-les-Baronnies;-0.21;-1.86;1.65
26074;La Chapelle-en-Vercors;1.48;-0.45;1.92
26095;Cléon-d'Andran;2.18;-0.22;2.4
26108;Crest;0.96;-0.43;1.39
26113;Die;0.81;-0.97;1.78
26114;Dieulefit;0.72;-1.34;2.06
26165;Livron-sur-Drôme;0.71;0.23;0.48
26166;Loriol-sur-Drôme;0.34;0.4;-0.06
26220;Nyons;0.2;-1.65;1.85
26301;Saint-Donat-sur-l'Herbasse;0.96;-0.17;1.13
26307;Saint-Jean-en-Royans;-1.06;-0.82;-0.24
26333;Saint-Vallier;0.48;-1.07;1.55
27016;Les Andelys;-0.42;-0.35;-0.07
27022;Le Val d'Hazey;-1.05;0.31;-1.35
27049;Mesnil-en-Ouche;-0.83;-0.16;-0.67
27051;Beaumont-le-Roger;-1.42;-0.03;-1.39
27056;Bernay;-1.34;-0.77;-0.57
27065;Beuzeville;0.51;-0.3;0.82
27103;Bourg-Achard;1.95;-0.41;2.36
27105;Grand Bourgtheroulde;1.37;0.43;0.94
27112;Breteuil;-1.08;-1.19;0.1
27116;Brionne;-0.42;-0.75;0.33
27117;Broglie;-1.5;-0.09;-1.41
27151;Charleval;-1.15;-0.5;-0.65
27165;Conches-en-Ouche;-0.5;-0.59;0.09
27170;Cormeilles;0.16;-0.26;0.42
27198;Mesnils-sur-Iton;0.15;0.17;-0.02
27213;Vexin-sur-Epte;-0.22;0.43;-0.65
27226;Étrépagny;-0.81;-0.1;-0.71
27230;Ézy-sur-Eure;0.28;0.07;0.21
27246;Fleury-sur-Andelle;-0.46;0.13;-0.59
27275;Gaillon;-0.54;0.76;-1.3
27279;Gasny;-0.1;0.15;-0.24
27284;Gisors;0.07;-0.24;0.31
27355;Ivry-la-Bataille;-0.64;-0.46;-0.19
27377;Lyons-la-Forêt;-0.72;-1.75;1.04
27413;Montfort-sur-Risle;0.81;-0.09;0.89
27428;Le Neubourg;0.68;-0.93;1.6
27438;Nonancourt;0.03;0.35;-0.32
27448;Pacy-sur-Eure;-0.38;-0.7;0.32
27467;Pont-Audemer;-1.33;-0.9;-0.43
27469;Pont-de-l'Arche;-0.12;-0.04;-0.08
27470;Pont-Saint-Pierre;-0.4;0.12;-0.52
27493;Romilly-sur-Andelle;0.09;0.24;-0.15
27502;Rugles;-0.84;-1.52;0.68
27507;Saint-André-de-l'Eure;0.15;-0.2;0.35
27629;Thiberville;-0.5;-0.01;-0.49
27679;Verneuil d'Avre et d'Iton;-1.85;-0.6;-1.25
28018;Authon-du-Perche;-0.45;-1.34;0.88
28027;La Bazoche-Gouet;-0.29;-2.11;1.82
28059;Brezolles;-0.38;-1.03;0.65
28061;Brou;-0.63;-1.37;0.73
28089;Châteauneuf-en-Thymerais;-0.28;-0.59;0.31
28116;Courville-sur-Eure;-0.02;-0.55;0.53
28140;Épernon;0.03;0.85;-0.82
28149;La Ferté-Vidame;-3.66;-0.41;-3.25
28196;Illiers-Combray;-0.55;-1.14;0.59
28199;Janville-en-Beauce;-0.37;-0.63;0.26
28214;La Loupe;-1;-1.2;0.2
28279;Nogent-le-Roi;-0.52;-0.48;-0.04
28348;Saint-Lubin-des-Joncherets;0.08;-0.3;0.38
28373;Senonches;-0.59;-1.54;0.96
28387;Thiron-Gardais;-0.57;-2.36;1.8
28391;Toury;-0.34;0.25;-0.59
28393;Tremblay-les-Villages;-0.58;0.87;-1.45
29003;Audierne;-0.05;-1.67;1.62
29020;Briec;0.54;0.02;0.51
29024;Carhaix-Plouguer;-0.15;-1;0.85
29026;Châteaulin;-0.27;-0.67;0.41
29027;Châteauneuf-du-Faou;-0.19;-0.94;0.75
29039;Concarneau;1.2;-0.83;2.03
29042;Crozon;-0.62;-0.93;0.31
29043;Daoulas;0.6;-0.72;1.33
29046;Douarnenez;-0.05;-1.26;1.21
29053;Le Faou;1.03;-0.6;1.63
29055;Le Folgoët;0.56;0.05;0.51
29072;Guilvinec;-0.14;-1.5;1.37
29081;Huelgoat;-1.49;-2.87;1.38
29103;Landerneau;0.48;-0.28;0.76
29105;Landivisiau;0.21;-0.05;0.26
29117;Lannilis;0.7;-0.22;0.92
29124;Lesneven;0.2;-0.56;0.75
29135;Loctudy;-0.07;-1.22;1.14
29158;Penmarch;-1.02;-1.3;0.28
29160;Plabennec;0.52;0.14;0.38
29162;Pleyben;-0.62;-0.8;0.17
29163;Pleyber-Christ;0.59;-0.33;0.91
29178;Ploudalmézeau;0.14;-0.52;0.66
29195;Plouguerneau;0.49;-0.5;0.99
29197;Plouhinec;-0.33;-1.29;0.96
29199;Plouigneau;-0.06;-0.1;0.04
29210;Plouvorn;0.32;-0.1;0.43
29217;Pont-Aven;-0.06;-1.59;1.53
29220;Pont-l'Abbé;0.38;-1.03;1.41
29233;Quimperlé;0.4;-0.48;0.89
29241;Rosporden;0;-0.53;0.53
29259;Saint-Pol-de-Léon;0.39;-1.12;1.51
29260;Saint-Renan;0.52;-0.03;0.55
29274;Scaër;-0.56;-0.88;0.32
29277;Sizun;0.43;-0.45;0.88
29284;Treffiagat;0.14;-0.9;1.04
29293;Trégunc;0.02;-0.5;0.52
29302;Pont-de-Buis-lès-Quimerch;-1.22;-0.24;-0.97
2A041;Bonifacio;1.21;0.23;0.98
2A228;Pietrosella;3.63;-0.03;3.66
2A247;Porto-Vecchio;-0.86;0.6;-1.46
2A249;Propriano;-0.29;-0.15;-0.14
2A272;Sartène;1.28;-0.35;1.62
2A348;Vico;1.09;-0.95;2.04
2B050;Calvi;1.12;0.56;0.56
2B096;Corte;0.72;-0.18;0.9
2B123;Ghisonaccia;0.48;0.09;0.39
2B134;L'Île-Rousse;0.32;-0.36;0.68
2B152;Luri;0.36;-0.85;1.21
2B298;Saint-Florent;0.86;-0.47;1.33
30003;Aigues-Mortes;0.59;-0.06;0.64
30010;Anduze;-0.67;-1.06;0.39
30012;Aramon;-0.1;-0.06;-0.04
30029;Barjac;0.37;-1.06;1.43
30032;Beaucaire;-0.43;0.35;-0.78
30034;Bellegarde;2.06;0.54;1.53
30062;Calvisson;1.89;0.18;1.71
30132;La Grand-Combe;-0.79;-0.62;-0.17
30133;Le Grau-du-Roi;0.01;-1.06;1.06
30202;Pont-Saint-Esprit;0.51;-0.2;0.71
30210;Quissac;1.25;-0.12;1.37
30212;Remoulins;-0.47;0.41;-0.88
30221;Roquemaure;0.19;0.02;0.17
30227;Saint-Ambroix;0.84;-1.36;2.2
30258;Saint-Gilles;0.95;0.42;0.53
30259;Saint-Hilaire-de-Brethmas;1.69;-0.14;1.83
30263;Saint-Hippolyte-du-Fort;-0.82;-0.51;-0.32
30269;Saint-Jean-du-Gard;-0.85;-1.04;0.2
30321;Sommières;0.98;-0.07;1.05
