Code;M�diane du revenu disponible par UC 2020;Part des 60-74 ans 2021;Part des moins de 15 ans 2021;Part des 15-29 ans 2021;Part des 30-44 ans 2021;Part des 45-59 ans 2021;Nombre grandes surfaces 2023;Nombre de sup�rettes et �pieries;Nombre boulangeries et patisseries;Nombre �coles primaires maternelles �l�mentaires;Nombre de coll�ges;Nombre de lyc�es;Nombre de m�decins g�n�ralistes;Nombre de dentistes;Nombre de pharmacies
16382;23790;26.5;14.1;9.7;17.9;25.3;0;0;0;1;0;0;0;0;0
16383;22030;15.4;21.2;12.4;23.4;22;0;0;1;1;0;0;0;0;0
16384;19980;22.2;11.9;10.6;11;25.5;1;0;0;1;0;0;0;0;0
16385;24450;23;15.4;13;16;23.4;0;1;0;1;0;0;0;0;0
16387;23330;17.7;14.5;18.7;17.8;25.1;0;0;0;1;0;1;0;0;0
16388;24890;19.3;18.9;10.7;17.4;22.4;0;0;0;1;0;0;0;0;0
16389;N/A - r�sultat non disponible;30.8;4.9;11.1;12.3;25.9;0;0;0;0;0;0;0;0;0
16390;20040;30.6;7.4;10.8;9.2;23.1;0;1;0;0;0;0;0;0;0
16392;19070;20.6;12.4;7.2;18.5;23.7;0;0;1;0;0;0;0;0;0
16393;22120;17.5;18.9;13.8;19.3;21.5;1;0;1;1;0;0;4;3;1
16394;N/A - r�sultat non disponible;36.2;12;6;13.4;16.9;0;0;0;0;0;0;0;0;0
16395;23720;24.8;15.2;11.8;16.7;19.7;0;0;1;0;0;0;0;0;0
16396;16950;28.7;14.8;4.9;13.2;28.7;1;0;0;0;0;0;0;0;0
16397;20760;23.8;16.7;13.2;17.5;16.8;0;0;1;1;0;0;0;0;0
16398;N/A - r�sultat non disponible;35.9;6.6;8.8;5.5;31.4;0;0;0;0;0;0;0;0;0
16399;24450;16.6;13.2;15.2;17.6;23.5;0;0;0;1;0;0;0;0;0
16400;19770;28.5;11.7;11.9;11.9;18.4;0;2;1;1;0;0;1;0;1
16401;19600;10.9;15;17;24.5;20.4;0;0;0;0;0;0;0;0;0
16402;22420;25.6;14;12;14.2;23.2;0;0;0;1;0;0;0;0;0
16403;20300;29;6.2;8.5;5.4;32;0;0;0;0;0;0;0;0;0
16404;19500;28.8;10;13.5;10.9;23.5;0;0;0;0;0;0;0;0;0
16405;22390;22.4;17.6;13.9;15.8;20.6;0;0;0;0;0;0;0;0;0
16406;21770;18.8;17.1;13.1;19.9;20.6;0;0;1;0;0;0;0;0;0
16408;21390;19.4;15.5;9.9;14.7;20.6;2;0;1;2;1;0;1;1;1
16409;17720;22.1;14.2;10.7;12.8;19.9;0;2;1;2;1;0;2;1;1
16412;22690;17.8;19.2;14.5;22.4;18.8;0;0;0;0;0;0;0;0;0
16413;17690;23.4;18.2;14.1;14;17;0;0;0;0;0;0;0;0;0
16414;19810;21.6;12.6;14.2;16.1;25.2;0;0;0;1;0;0;0;0;0
16415;23630;22;18.6;9.9;19.6;21.1;0;0;0;1;0;0;0;0;0
16416;21110;25.5;15;8.1;18.3;22.9;0;0;2;1;0;0;0;0;0
16418;25100;23.1;13.9;13.6;15;24;0;0;1;1;0;0;1;0;1
16419;21490;27.1;11.6;10.6;11.5;19.6;0;0;0;0;0;0;0;0;0
16420;23510;21.2;14.4;9.5;11.9;29.9;0;0;0;0;0;0;0;0;0
16421;20370;26.7;17;9;19.5;18.9;0;0;0;1;0;0;0;0;0
16422;21990;21;20.6;12.2;20.7;18.7;0;0;0;1;0;0;0;0;0
16423;19340;25.9;10.9;14;12;22.1;0;0;0;1;0;0;0;0;0
16424;19530;22.6;14.6;13.6;16.4;21.6;0;0;0;1;0;0;0;0;0
16425;20100;20;17.4;13.1;18.7;20.9;0;0;0;1;0;0;0;0;0
17002;18860;29.1;16.4;11.2;15.7;17.2;0;0;0;0;0;0;0;0;0
17003;22710;20.4;17.7;12.8;18.4;20.2;1;1;3;3;2;0;5;6;2
17004;21180;29.6;8.3;6.2;8;22.6;0;2;1;1;0;0;1;0;0
17005;19170;28.4;10.7;16.8;12.2;21.3;0;0;0;0;0;0;0;0;0
17006;23160;17.2;17.7;10.8;22.9;21.1;0;0;0;1;0;0;0;0;0
